Date,andrewsmartin (difference),danthelion (difference),dmohns (difference),Gr1f0n6x (difference),himikof (difference),honnix (difference),switzer (difference),Tarrasch (difference),tmattio (difference),yonromai (difference),TOTAL (difference),Repository,Commit SHA,Commit URL
01/16/2018 07:55:35,,,,,,,,,,,1171,spotify/styx,0ab65976c6e828b2f35f9e557fd98700ecabb1db,https://github.com/spotify/styx/commit/0ab65976c6e828b2f35f9e557fd98700ecabb1db
01/16/2018 12:47:51,,,,,,,,,,,1531,spotify/styx,72ec3d69f7bedf8326e1035bc10ac52261c0f2b7,https://github.com/spotify/styx/commit/72ec3d69f7bedf8326e1035bc10ac52261c0f2b7
01/16/2018 12:54:12,,,,,,,,,,,1531,spotify/styx,72fd31428f4219234960260db77c1fe34d25033d,https://github.com/spotify/styx/commit/72fd31428f4219234960260db77c1fe34d25033d
01/16/2018 12:54:12,,,,,,,,,,,1531,spotify/styx,071aae19fb422aece6d3d7f1c65643359524342a,https://github.com/spotify/styx/commit/071aae19fb422aece6d3d7f1c65643359524342a
01/16/2018 15:35:30,,,,,,,,,,,2068,spotify/styx,17382f7879b3b84f1bed9702e1aa06964d4398c4,https://github.com/spotify/styx/commit/17382f7879b3b84f1bed9702e1aa06964d4398c4
01/16/2018 16:03:09,,,,,,,,,,,2106,spotify/styx,731b7000b64122cdfc628206508b56a0ca02ca1b,https://github.com/spotify/styx/commit/731b7000b64122cdfc628206508b56a0ca02ca1b
01/16/2018 16:03:09,,,,,,,,,,,2144,spotify/styx,bd2102073a61fd024e529e19cdf4bb42902ca931,https://github.com/spotify/styx/commit/bd2102073a61fd024e529e19cdf4bb42902ca931
01/16/2018 19:34:33,,,,,,,,0,,,2144,spotify/luigi,bd10d39a284e238ac8021054de96677ff03ced04,https://github.com/spotify/luigi/commit/bd10d39a284e238ac8021054de96677ff03ced04
01/17/2018 02:59:28,,,,,,,,,,,2155,spotify/styx,1a2b0e504cc979dfe8715d801a85fd5a3b36bd5b,https://github.com/spotify/styx/commit/1a2b0e504cc979dfe8715d801a85fd5a3b36bd5b
01/17/2018 07:22:29,,,,,,,,,,,2155,spotify/styx,f8f05c278ed43f4c6a9c91afa7607e163d76da1a,https://github.com/spotify/styx/commit/f8f05c278ed43f4c6a9c91afa7607e163d76da1a
01/17/2018 07:40:11,,,,,,,,,,,2154,spotify/styx,62098a2ddb8b169ba60e5fd64bb419cb99599422,https://github.com/spotify/styx/commit/62098a2ddb8b169ba60e5fd64bb419cb99599422
01/17/2018 07:51:09,,,,,,,,,,,2154,spotify/styx,eaa0bc7c1f48a7810bbaf23a826250806e69bde6,https://github.com/spotify/styx/commit/eaa0bc7c1f48a7810bbaf23a826250806e69bde6
01/17/2018 07:52:13,,,,,,,,,,,2155,spotify/styx,32d6ff84bbdd2f14bb243863767078e506a29f18,https://github.com/spotify/styx/commit/32d6ff84bbdd2f14bb243863767078e506a29f18
01/17/2018 07:55:32,,,,,,,,,,,2155,spotify/styx,ae4c0771f8f01cbbabc76437cf08b08db649b621,https://github.com/spotify/styx/commit/ae4c0771f8f01cbbabc76437cf08b08db649b621
01/17/2018 09:48:19,,,,,,632,,,,,2154,spotify/styx,1405dba7ee36222552e2d7172c0babd391d74c08,https://github.com/spotify/styx/commit/1405dba7ee36222552e2d7172c0babd391d74c08
01/17/2018 15:02:15,,,,,,,,,,,2191,spotify/styx,c6ac2d5cda02465a883cd56497992824770985aa,https://github.com/spotify/styx/commit/c6ac2d5cda02465a883cd56497992824770985aa
01/17/2018 15:02:15,,,,,,,,,,,2228,spotify/styx,ef5306dcc4d9916b9836d9167ee0daa9a48ce659,https://github.com/spotify/styx/commit/ef5306dcc4d9916b9836d9167ee0daa9a48ce659
01/18/2018 03:36:33,,,,,,,,,,,2479,spotify/styx,7265e097a6f7222c7472dcb9502b5fd9aeb17fbb,https://github.com/spotify/styx/commit/7265e097a6f7222c7472dcb9502b5fd9aeb17fbb
01/19/2018 05:08:59,,,,,,,,,,,2588,spotify/styx,2771646a5fa5086042d73876ae2e3db8b6a0c31f,https://github.com/spotify/styx/commit/2771646a5fa5086042d73876ae2e3db8b6a0c31f
01/19/2018 05:16:47,,,,,,,,,,,2588,spotify/styx,b778aeee047768fd6e5b23f7b87e548c421cd6dc,https://github.com/spotify/styx/commit/b778aeee047768fd6e5b23f7b87e548c421cd6dc
01/19/2018 05:18:58,,,,,,,,,,,2588,spotify/styx,aaa6922bf8fac7afeaad49ba166fc9e3227083b1,https://github.com/spotify/styx/commit/aaa6922bf8fac7afeaad49ba166fc9e3227083b1
01/19/2018 05:22:50,,,,,,,,,,,2588,spotify/styx,2bd81bcec88a1db4d9a631371d99b03ddff48eb8,https://github.com/spotify/styx/commit/2bd81bcec88a1db4d9a631371d99b03ddff48eb8
